hex,total
ID621,0
ID622,0
ID649,0
ID820,9721
ID821,128
ID822,1725
ID823,1489
ID861,38
ID862,15
ID863,11
ID864,443
ID865,417
ID903,2
ID904,6
ID905,1
ID906,14
ID907,626
ID908,6360
ID909,518
ID948,0
ID949,20
ID950,22
ID951,72
ID952,3703
ID953,439
ID954,1134
ID955,30
ID998,10
ID999,2
ID1000,0
ID1001,195
ID1002,1417
ID1003,28354
ID1004,1652
ID1008,0
ID1052,0
ID1053,0
ID1054,0
ID1055,0
ID1056,1548
ID1057,2518
ID1058,1520
ID1059,202
ID1060,5
ID1063,0
ID1064,1
ID1065,0
ID1118,93
ID1119,1756
ID1120,0
ID1121,1056
ID1122,69
ID1123,218
ID1124,307
ID1125,0
ID1126,0
ID1129,6
ID1130,7
ID1189,2
ID1190,10
ID1191,0
ID1192,1
ID1193,22
ID1194,112
ID1195,6
ID1196,2
ID1197,4
ID1200,0
ID1201,0
ID1202,0
ID1269,0
ID1270,4
ID1271,32
ID1272,1
ID1273,23
ID1274,6
ID1275,199
ID1276,295
ID1277,14
ID1278,67
ID1281,0
ID1282,377
ID1283,247
ID1354,0
ID1355,6
ID1356,95
ID1357,14
ID1358,3
ID1359,1
ID1360,38
ID1361,5
ID1362,625
ID1363,497
ID1364,6
ID1365,0
ID1367,0
ID1368,0
ID1369,0
ID1436,17
ID1437,0
ID1438,1
ID1439,0
ID1440,0
ID1441,1
ID1442,827
ID1443,8
ID1444,9
ID1445,443
ID1446,0
ID1447,0
ID1448,0
ID1449,3
ID1450,0
ID1451,0
ID1509,0
ID1510,28
ID1511,0
ID1512,0
ID1513,0
ID1514,5
ID1515,4
ID1516,81
ID1517,45
ID1518,964
ID1519,0
ID1520,5
ID1521,5
ID1523,0
ID1524,1
ID1584,14
ID1585,8
ID1586,1
ID1587,1094
ID1588,0
ID1589,148
ID1590,497
ID1591,0
ID1592,12
ID1593,2
ID1594,0
ID1595,2
ID1596,144
ID1597,37
ID1598,0
ID1599,1
ID1667,5
ID1668,0
ID1669,1
ID1670,4
ID1671,0
ID1672,116
ID1673,1
ID1674,8
ID1675,52
ID1676,6
ID1677,6
ID1678,8
ID1679,0
ID1752,1205
ID1753,2
ID1754,2
ID1755,1
ID1756,1
ID1757,1
ID1758,0
ID1759,0
ID1760,34
ID1761,18
ID1762,15
ID1763,2
ID1833,7
ID1834,0
ID1835,0
ID1836,9
ID1837,0
ID1838,2
ID1839,0
ID1840,0
ID1841,288
ID1842,213
ID1843,1925
ID1911,137
ID1912,428
ID1913,0
ID1914,0
ID1915,101
ID1916,0
ID1917,0
ID1918,6
ID1919,13
ID1920,11
ID1921,8
ID1922,129
ID1989,0
ID1990,0
ID1991,409
ID1992,0
ID1993,2
ID1994,249
ID1995,0
ID1996,105
ID1997,16
ID1998,94
ID1999,170
ID2000,628
ID2001,64
ID2067,2
ID2068,18
ID2069,77
ID2070,0
ID2071,0
ID2072,0
ID2073,0
ID2074,4
ID2075,583
ID2076,35
ID2077,71
ID2078,8393
ID2079,8
ID2080,2
ID2141,1
ID2142,529
ID2143,2
ID2144,0
ID2145,8
ID2146,0
ID2147,0
ID2148,0
ID2149,0
ID2150,0
