Category,Renamed Category,Item,Renamed Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Beverages,Soda,Coca-Cola Classic (Small),Soda 1 (Regular),473,5.600,0.000,0.000,0.000,0.000,0.000,0.000,10.400,0.000,108.333,0.000,0.000,0.000,0.000,0.000
Beverages,Soda,Dr Pepper (Small),Soda 2 (Regular),473,5.600,0.000,0.000,0.000,0.000,0.000,1.875,9.867,0.000,97.222,0.000,0.000,0.000,0.000,0.000
Beverages,Soda,Sprite (Small),Soda 3 (Regular),473,5.600,0.000,0.000,0.000,0.000,0.000,1.250,9.867,0.000,102.778,0.000,0.000,0.000,0.000,0.000
Beverages,Drinks,Minute Maid Orange Juice (Small),Soda 4 (Regular),354,6.000,0.000,0.000,0.000,0.000,0.000,0.000,9.067,0.000,83.333,2.941,0.000,195.000,2.500,0.000
Coffee & Tea,Coffee & Tea,Sweet Tea (Small),Soda 5 (Regular),473,6.000,0.000,0.000,0.000,0.000,0.000,0.417,9.600,0.000,100.000,1.471,0.000,0.000,0.000,0.000
Coffee & Tea,Coffee & Tea,Latte (Small),Soda 6 (Regular),354,6.800,9.143,13.846,20.000,0.000,8.333,4.792,4.000,3.333,33.333,13.235,9.600,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,Caramel Latte (Small),Soda 7 (Regular),354,10.800,9.143,13.846,20.000,0.000,8.333,4.792,10.667,3.333,105.556,13.235,9.600,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,Hazelnut Latte (Small),Soda 8 (Regular),354,10.800,9.143,13.846,20.000,0.000,8.333,4.792,10.667,3.333,105.556,13.235,9.600,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,French Vanilla Latte (Small),Soda 9 (Regular),354,10.400,9.143,13.846,20.000,0.000,8.333,4.792,10.133,3.333,100.000,13.235,9.600,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),Soda 10 (Regular),354,8.400,9.143,13.846,20.000,0.000,8.333,6.250,6.400,3.333,33.333,13.235,9.600,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,Mocha (Small),Soda 11 (Regular),354,13.600,11.429,16.923,28.000,0.000,11.667,6.250,13.067,6.667,116.667,14.706,12.000,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,Mocha with Nonfat Milk (Small),Soda 12 (Regular),354,10.800,3.429,5.385,8.000,0.000,5.000,6.250,13.067,6.667,119.444,16.176,12.000,0.000,43.750,0.000
Coffee & Tea,Coffee & Tea,Caramel Mocha (Small),Soda 13 (Regular),354,12.800,11.429,16.923,28.000,0.000,11.667,7.083,12.000,3.333,111.111,14.706,12.000,0.000,37.500,0.000
Coffee & Tea,Coffee & Tea,Hot Chocolate (Small),Soda 14 (Regular),354,14.400,13.714,20.000,32.000,0.000,13.333,7.500,13.333,3.333,125.000,16.176,12.000,0.000,50.000,0.000
Smoothies & Shakes,Milkshakes,Blueberry Pomegranate Smoothie (Small),Soda 15 (Regular),354,8.800,0.571,0.769,0.000,0.000,1.667,1.667,13.333,10.000,122.222,2.941,0.000,1.667,7.500,0.000
Smoothies & Shakes,Milkshakes,Strawberry Banana Smoothie (Small),Soda 16 (Regular),354,8.400,0.571,0.769,0.000,0.000,1.667,2.083,12.533,10.000,122.222,4.412,0.000,45.000,10.000,0.000
Smoothies & Shakes,Milkshakes,Mango Pineapple Smoothie (Small),Soda 17 (Regular),354,8.400,0.571,0.769,0.000,0.000,1.667,1.667,13.333,3.333,127.778,2.941,36.000,30.000,10.000,0.000
Smoothies & Shakes,Milkshakes,Vanilla Shake (Small),Soda 18 (Regular),354,21.200,16.000,23.077,40.000,50.000,20.000,6.667,22.933,0.000,175.000,16.176,24.000,0.000,50.000,0.000
Smoothies & Shakes,Milkshakes,Strawberry Shake (Small),Soda 19 (Regular),354,22.000,17.143,24.615,40.000,50.000,20.000,6.667,24.000,0.000,219.444,17.647,24.000,0.000,50.000,0.000
Smoothies & Shakes,Milkshakes,Chocolate Shake (Small),Soda 20 (Regular),354,22.400,17.143,24.615,40.000,50.000,20.000,10.000,24.267,3.333,213.889,17.647,24.000,0.000,50.000,16.667
Beverages,Soda,Coca-Cola Classic (Large),Soda 1 (Large),887,11.200,0.000,0.000,0.000,0.000,0.000,0.208,20.267,0.000,211.111,0.000,0.000,0.000,0.000,0.000
Beverages,Soda,Dr Pepper (Large),Soda 2 (Large),887,10.800,0.000,0.000,0.000,0.000,0.000,3.750,19.200,0.000,194.444,0.000,0.000,0.000,0.000,0.000
Beverages,Soda,Sprite (Large),Soda 3 (Large),887,11.200,0.000,0.000,0.000,0.000,0.000,2.500,19.733,0.000,205.556,0.000,0.000,0.000,0.000,0.000
Beverages,Drinks,Minute Maid Orange Juice (Large),Soda 4 (Large),650,11.200,0.000,0.000,0.000,0.000,0.000,0.208,17.333,0.000,161.111,5.882,0.000,360.000,5.000,0.000
Coffee & Tea,Coffee & Tea,Sweet Tea (Large),Soda 5 (Large),887,8.800,0.000,0.000,0.000,0.000,0.000,0.417,14.400,0.000,150.000,1.471,0.000,0.000,0.000,0.000
Coffee & Tea,Coffee & Tea,Latte (Large),Soda 6 (Large),591,11.200,13.714,21.538,32.000,0.000,13.333,7.500,6.400,3.333,55.556,22.059,18.000,0.000,62.500,0.000
Coffee & Tea,Coffee & Tea,Caramel Latte (Large),Soda 7 (Large),591,17.200,13.714,21.538,32.000,0.000,13.333,7.500,16.533,3.333,163.889,22.059,18.000,0.000,62.500,0.000
Coffee & Tea,Coffee & Tea,Hazelnut Latte (Large),Soda 8 (Large),591,17.200,13.714,21.538,32.000,0.000,13.333,7.500,16.533,3.333,161.111,22.059,18.000,0.000,62.500,0.000
Coffee & Tea,Coffee & Tea,French Vanilla Latte (Large),Soda 9 (Large),591,16.800,13.714,21.538,32.000,0.000,13.333,7.917,16.000,3.333,155.556,22.059,18.000,0.000,62.500,0.000
Coffee & Tea,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),Soda 10 (Large),591,13.200,13.714,21.538,32.000,0.000,13.333,10.000,9.867,6.667,55.556,22.059,18.000,0.000,62.500,0.000
Coffee & Tea,Coffee & Tea,Mocha (Large),Soda 11 (Large),591,20.000,17.143,26.154,40.000,25.000,16.667,10.000,19.200,6.667,175.000,23.529,18.000,0.000,62.500,16.667
Coffee & Tea,Coffee & Tea,Mocha with Nonfat Milk (Large),Soda 12 (Large),591,15.600,4.000,6.154,10.000,0.000,6.667,10.000,19.467,6.667,177.778,25.000,24.000,0.000,62.500,16.667
Coffee & Tea,Coffee & Tea,Caramel Mocha (Large),Soda 13 (Large),591,19.200,17.143,26.154,40.000,25.000,16.667,11.250,17.600,3.333,166.667,23.529,18.000,0.000,62.500,0.000
Coffee & Tea,Coffee & Tea,Hot Chocolate (Large),Soda 14 (Large),591,21.600,20.571,30.769,48.000,25.000,20.000,11.667,19.467,3.333,188.889,25.000,24.000,0.000,75.000,16.667
