"Make & Model
",Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","0–1/4 mile, sec.","0–1/4 mile, mph",Braking 60–0 mph (feet),Power to Weight,"Rating Category
Overall Rating",,,,dimensions,15
Aprilia SXV 5.5,7/08,$9499,V-2,5,61.5,34.7,307,37.5,113,4.16,n/.a,12.44,102.73,118.8,1:5.00,Middleweight Supermoto,,,,options,477
Dorsoduro,5/10,$9499,V-2,6,77.56,46.63,468,36.9,128.3,3.83,10.12,12.00,128.3,115.4,1:6.27,Middleweight Supermoto,,,,,
Shiver,8/08,$8995,V-2,6,75.5,45.4,485,40.9,130,4.04,10.0,12.05,110.59,111.3,1:6.41,Middleweight Standard,,,,,
Shiver 750,2/11,$8999,V-2,6,77.3,44.83,489,43.8,131.3,4.15,11.0,12.27,108.04,113.8,1:6.33,Middleweight Standard,,,,,
Mana 850,3/09,$9899,V-2,CVT,53.61,38.76,517,45.9,199.5,5.28,15.72,13.52,98.94,117.4,1:9.64,Middleweight Standard,,,,,
RST1000 Futura,10/01,"$12,999",V-2,6,93.9,62.2,543,39.7,151,3.24,7.62,11.04,121.12,113.2,1:5.78,Open Sport-Tourer,,,,,
ETV1000 Capo Nord,9/02,"$10,999",V-2,6,82.7,59.2,568,44.3,132,3.71,9.68,11.80,111.62,125.4,1:6.87,Open Adventure-Tourer,,,,,
Mille ’00,10/00,"$13,799",V-2,6,105.6,65.5,490,39.1,165,3.26,6.77,10.73,129.85,113.4,1:4.64,Open Sportbike,,,,,
RSV Mille R ’02,2/03,"$17,299",V-2,6,110.3,68.0,463,35.3,169,3.10,6.22,10.41,133.90,113.7,1:4.20,Open Sportbike,,,,,
RSV Mille R ’04,1/04,"$13,899",V-2,6,113.9,66.6,472,31.4,173,3.09,6.27,10.43,135.44,119.3,1:4.14,Open Sportbike,,,,,
RSV4 Factory,6/10,"$20,999",V-4,6,152.77,73.08,458.5,26.7,177.7,3.07,5.75,10.16,142.75,123.6,1:3.14,Open Sportbike,,,,,
Tuono,9/03,"$11,999",V-2,6,106.7,63.2,475,42.0,165,3.35,6.78,10.75,130.28,116.9,1:4.45,Open Standard,,,,,
Tuono ’09,12/08,"$12,999",V-2,6,108.3,62.9,471,39.6,157,3.47,7.48,11.10,124.35,110.8,1:4.34,Open Standard,,,,,
Tuono Factory,9/09,"$16,999",V-2,6,112.65,65.03,456,37.1,147.3,3.63,7.62,11.19,123.89,123.3,1:4.05,Open Standard,,,,,
Tuono V4 APRC,8/12,"$14,599",V-2,6,152.03,75.03,469.5,29.8,158.3,3.13,5.95,10.28,138.10,116.7,1:3.09,Open Naked Sportbike,,,,,
Dorsoduro 1200,1/12,"$11,999",V-2,6,116.05,74.0,490.5,32.0,151,3.15,7.22,10.96,121.24,111.1,1:4.22,Open Supermoto,,,,,
ATK GT250R,4/11,$4295,V-2,5,23.02,14.12,414,41.3,90.7,9.72,n/.a,16.78,75.09,128.3,1:17.98,Lightweight Sportbike,,,,,
GV650,3/11,$6995,V-2,5,62.76,39.92,530.5,52.8,116.2,4.72,n/.a,12.97,101.93,125.75,1:8.45,Middleweight Cruiser,,,,,
Benelli Tre K,5/08,"$14,799",I-3,6,99.9,70.8,534,30.6,144,3.12,7.39,10.95,121.57,118.5,1:5.35,Open Adventure-Tourer,,,,,
Beta 450RS,9/11,$8799,1,6,38.42,26.05,283,50.3,110.9,5.25,n/.a,13.93,89.93,134.74,1:7.36,Middleweight Dual-Sport,,,,,
BMW C600,2/13,$9590,I-2,CVT,46.02,39.08,556,43.6,114.6,6.4,n/.a,14.87,85.54,126.48,1:12.08,Maxi-Scooter,,,,,
C650GT,1/14,$9990,I-2,CVT,46.3,39.2,589,41.73,108.9,7.7,n/.a,15.56,86.6,131.0,1:12.71,Maxi-Scooter,,,,,
F650CS,10/03,$8690,1,5,44.2,39.5,432,46.1,112,4.72,n/.a,13.07,99.90,116.5,1:9.77,Middleweight Standard,,,,,
F650ST,2/97,$7490,1,5,42.2,38.0,427,38.9,100,5.22,n/.a,13.76,90.11,114.7,1:10.12,Supermoto,,,,,
F650GS,7/00,$8100,1,5,42.3,38.0,430,53.5,105,4.89,n/.a,13.47,93.39,116.9,1:10.17,Middleweight Dual-Sport,,,,,
F650GS,4/09,"$10,575",I-2,6,63.35,50.8,426.5,50.9,121.5,4.24,n/.a,12.53,103.75,120.6,1:6.73,Middleweight Standard,,,,,
G650 Xmoto,9/07,$9575,1,5,45.5,39.3,362,51.8,109,4.91,n/.a,13.93,89.31,120.2,1:7.96,Middleweight Dual-Sport,,,,,
G650 Xcountry,10/07,$8675,1,5,45.4,39.3,369,56.4,104,4.78,n/.a,13.28,94.61,119.2,1:8.13,Middleweight Dual-Sport,,,,,
G650 Sertão,3/12,$8650,1,5,42.15,35.59,435.5,63.7,103.7,5.58,16.56,14.10,89.04,117.0,1:10.3,Middleweight Dual-Sport,,,,,
F700GS,4/13,$9990,I-2,6,64.1,53.6,480.5,46.9,114.2,4.18,n/.a,12.54,102.62,119.4,1:7.49,Middleweight Standard,,,,,
F800GS ’09,1/09,"$10,520",I-2,6,73.7,51.2,455,53.0,126,3.95,10.76,12.20,107.78,127.5,1:6.17,Middleweight Adventure,,,,,
F800GS ’11,8/11,"$11,455",I-2,6,74.21,50.67,489,48.5,126.7,3.94,10.47,12.10,108.76,127.2,1:6.59,Middleweight Adventure,,,,,
F800GS Adventure,10/13,"$13,550",I-2,6,74.8,52.1,532,41.6,114.2,4.98,n/.a,13.23,100.64,128.6,1:7.11,Middleweight Adventure,,,,,
F800GT,7/13,"$11,890",I-2,6,78.18,55.03,497,49.5,131.3,4.79,10.68,12.61,111.65,125.4,1:6.36,Middleweight Sport-Tourer,,,,,
F800ST,9/07,"$10,950",I-2,6,79.0,55.4,478,47.8,145,3.91,10.14,12.08,110.39,124.1,1:6.05,Middleweight Sport-Tourer,,,,,
F800R,3/11,$9950,I-2,6,80.24,57.59,450.5,52.1,134.5,3.43,8.30,11.39,116.83,124.3,1:5.61,Middleweight Standard,,,,,
R850R,4/96,$8990,O-2,5,67.7,53.2,469,43.7,112,4.15,n/.a,12.87,99.80,127.3,1:6.93,Open Standard,,,,,
S1000RR,6/10,"$13,800",I-4,6,178.81,77.97,458,38.4,186.6,3.10,5.54,10.01,151.06,118.1,1:2.55,Open Sportbike,,,,,
S1000RR ’12,9/12,"$15,050",i-4,6,183.8,77.92,458,36.0,186,3.01,5.33,9.80,148.35,119.3,1:2.49,Open Sportbike,,,,,
R1100S,2/99,"$13,900",O-2,6,87.3,65.3,540,40.7,139,3.86,9.22,11.78,114.73,123.1,1:6.19,Open Sportbike,,,,,
R1100RT,12/96,"$15,990",O-2,5,79.3,65.6,622,37.5,125,4.52,n/.a,12.75,103.75,128.8,1:7.84,Open Sport-Tourer,,,,,
K1100LT,12/97,"$16,890",I-4,5,88.6,70.9,660,43.2,130,4.35,10.74,12.34,109.82,140.3,1:7.45,Luxury Tourer,,,,,
K1300S,6/09,"$15,250",I-4,6,151.99,91.6,563,35.0,174.5,2.79,5.98,10.22,135.04,113.0,1:3.70,Open Sportbike,,,,,
R1100GS ’98,10/98,"$13,550",O-2,5,75.8,67.8,575,36.6,123,4.27,12.06,12.53,104.20,133.6,1:7.59,Open Adventure-Tourer,,,,,
R1150GS,9/99,"$13,550",O-2,6,75.0,69.9,581,36.6,117,4.11,12.42,12.51,103.78,130.0,1:7.75,Open Adventure-Tourer,,,,,
R1150GS Adventure,9/02,"$15,200",O-2,6,75.0,69.9,614,46.0,125,4.03,11.50,12.33,105.51,145.7,1:8.19,Open Adventure-Tourer,,,,,
R1150R,9/01,"$12,190",O-2,6,76.9,70.9,552,41.0,136,3.89,10.59,12.09,108.21,122.5,1:7.18,Open Standard,,,,,
R1150RS,12/02,"$15,490",O-2,6,78.2,66.5,557,42.2,135,4.04,10.30,12.13,110.54,122.8,1:7.12,Open Sportbike,,,,,
R1150RT ’02,6/01,"$16,290",O-2,6,81.0,67.7,640,36.6,127,4.97,n/.a,13.07,102.46,123.3,1:7.90,Open Sport-Tourer,,,,,
K1200R,4/06,"$14,300",T-4,6,128.1,76.9,550,37.7,162,2.85,6.11,10.30,132.76,121.1,1:4.29,Open Standard,,,,,
K1200S,8/05,"$15,750",T-4,6,134.7,81.3,560,49.4,172,3.17,6.30,10.47,135.07,120.9,1:4.16,Open Sportbike,,,,,
K1200RS,9/97,"$15,990",I-4,6,109.3,76.9,628,37.0,155,3.88,8.20,11.47,122.08,114.6,1:5.75,Open Sportbike,,,,,
K1200LT ’99,4/99,"$16,900",I-4,5+R,82.7,73.6,851,52.6,115,4.89,13.60,13.12,102.22,117.1,1:10.29,Luxury Tourer,,,,,
K1200LT ’01,2/01,"$16,990",I-4,5+R,82.7,73.6,860,44.9,115,4.64,13.35,12.87,103.41,126.3,1:10.40,Luxury Tourer,,,,,
K1200LT ’05,10/04,"$18,660",I-4,5+R,95.5,75.7,860,42.1,130,4.85,12.39,12.76,104.95,121.6,1:9.01,Luxury Tourer,,,,,
K1200GT ’03,3/03,"$17,990",I-4,6,103.7,73.7,681,38.0,143,3.87,8.69,11.68,119.10,117.5,1:6.57,Open Sport-Tourer,,,,,
K1200GT ’06,8/06,"$18,800",T-4,6,123.5,79.7,668,42.4,157,3.48,7.65,11.18,123.32,121.2,1:5.41,Open Sport-Tourer,,,,,
Megamoto,7/08,"$20,520",O-2,6,104.6,79.6,448,42.5,137,3.31,7.55,11.10,120.53,106.4,1:4.28,Open Supermoto,,,,,
R1200C,2/98,"$12,990",O-2,5,55.5,62.6,568,42.5,109,5.22,n/.a,13.61,93.79,119.5,1:10.23,Heavyweight Cruiser,,,,,
R1200CLC,1/03,"$16,490",O-2,6,49.9,61.5,722,43.5,102,6.53,n/.a,14.80,87.09,119.8,1:14.16,Luxury Touring Cruiser,,,,,
R1200GS,9/04,"$15,100",O-2,6,80.2,69.8,530,49.1,136,3.62,8.88,11.61,115.23,125.2,1:6.61,Open Adventure-Tourer,,,,,
R1200GS ’08,9/08,"$14,600",O-2,6,94.0,75.1,536,48.0,131,3.81,9.08,11.80,114.80,125.6,1:5.70,Open Adventure-Tourer,,,,,
R1200GS ’10,7/10,"$15,445",O-2,6,94.99,71.83,532,41.7,130.1,3.77,9.42,11.83,112.16,142.0,1:5.60,Open Adventure-Tourer,,,,,
R1200GS ’11,12/11,"$14,950",O-2,6,94.99,71.83,543.5,44.0,130.8,3.48,8.36,11.45,117.04,113.7,1:5.72,Open Adventure-Tourer,,,,,
R1200GS ‘13,8/13,"$15,800",O-2,6,115.65,82.47,543.5,44.0,136.9,4.0,9.22,11.8,116.69,125.4,1:4.7,Open Adventure-Tourer,,,,,
R1200RT,6/05,"$17,490",O-2,6,96.5,76.4,625,42.4,137,4.08,9.64,12.02,111.88,119.4,1:6.48,Open Sport-Tourer,,,,,
R1200RT ‘12,11/12,"$17,350",O-2,6,96.49,73.32,623.5,33.3,113.9,4.08,10.64,12.24,107.76,127.5,1:5.72,Open Sport-Tourer,,,,,
R1200S,12/06,"$14,700",O-2,6,109.0,76.3,484,44.0,151,3.47,7.40,11.08,123.71,122.7,1:4.44,Open Sportbike,,,,,
R1200R,2/07,"$13,025",O-2,6,97.7,76.5,511,44.0,138,3.51,8.17,11.35,118.33,119.0,1:5.23,Open Standard,,,,,
R1200ST,10/05,"$14,990",O-2,6,94.8,74.6,523,40.7,146,3.32,8.44,11.39,116.05,117.6,1:5.52,Open Sport-Tourer,,,,,
K1600GTL,9/11,"$25,845",I-6,6,131.43,110.3,784.5,37.9,134.3,3.69,9.18,11.75,113.87,122.4,1:5.96,Luxury Touring,,,,,
K1600GT,2/12,"$20,900",I-6,6,131.64,110.34,745.5,42.4,151.4,3.00,7.30,10.89,122.13,123.7,1:5.66,Luxury Touring,,,,,
Buell Blast,4/00,$4395,1,5,27.3,25.3,389,55.4,94,7.19,n/.a,15.24,85.00,115.6,1:14.25,Lightweight Standard,,,,,
ST2,12/96,"$12,795",V-2,5,59.4,64.2,517,37.5,115,4.88,n/.a,13.05,100.81,115.1,1:8.70,Open Sport-Tourer,,,,,
S3,9/97,"$11,999",V-2,5,73.6,70.0,496,52.8,135,3.84,9.31,11.77,114.01,120.6,1:6.74,Open Sportbike,,,,,
M2 Cyclone,1/98,$9395,V-2,5,68.2,70.4,469,44.8,128,3.75,10.15,11.94,109.88,109.6,1:6.88,Open Standard,,,,,
XB9R Firebolt,10/02,$9995,V-2,5,75.2,59.9,450,39.2,127,3.94,9.22,11.83,115.67,125.7,1:5.98,Middleweight Sportbike,,,,,
1125R,8/08,"$11,995",V-2,6,127.1,71.1,466,32.6,158,3.15,6.47,10.51,134.32,133.53,1:3.66,Open Sportbike,,,,,
XB12S Lightning,11/03,"$10,995",V-2,5,85.4,70.5,462,44.8,135,3.63,8.73,11.54,118.00,123.3,1:5.41,Open Standard,,,,,
XB12Ss Lightning Long,2/06,"$10,495",V-2,5,81.0,68.2,471,49.9,127,3.88,10.17,12.02,110.69,117.9,1:5.81,Open Standard,,,,,
X-1,11/99,"$10,599",V-2,5,84.4,72.6,495,39.9,135,3.52,8.64,11.45,116.53,112.2,1:5.86,Open Standard,,,,,
XB12X Ulysses,10/05,"$11,495",V-2,5,82.1,67.5,507,50.4,127,4.27,11.38,12.47,106.97,129.0,1:6.18,Open Adventure-Tourer,,,,,
XB12X Ulysses ’08,12/08,"$11,495",V-2,5,83.9,69.3,506,45.7,131,4.20,10.20,12.18,111.51,125.7,1:6.03,Open Adventure-Tourer,,,,,
Cagiva GC900 Gran Canyon,9/00,$8995,V-2,6,61.5,50.9,517,37.2,119,4.07,n/.a,12.53,101.95,129.6,1:8.41,Open Adventure-Tourer,,,,,
Cleveland Cyclewerks Misfit,11/12,$3195,1,5,13.78,11.58,304.5,69.6,74.9,18.80,n/.a,19.38,62.39,171.3,1:22.1,Lightweight Café Racer,,,,,
Ducati Monster 620ie,6/02,$6495,L-2,5,54.3,36.5,424,51.9,116,4.31,12.29,12.52,104.24,113.7,1:7.81,Lightweight Standard,,,,,
Multistrada 620 Dark,3/06,$7995,L-2,6,57.5,40.1,449,52.0,117,3.70,n/.a,12.23,102.15,114.2,1:7.81,Middleweight Standard,,,,,
Monster 695,9/06,$7495,L-2,6,62.1,41.7,415,45.0,127,4.75,n/.a,12.90,103.23,121.7,1:6.68,Middleweight Standard,,,,,
Monster 696,10/08,$8775,L-2,6,68.2,29.7,408,52.4,129,4.09,10.66,12.21,108.35,119.5,1:5.98,Middleweight Standard,,,,,
Monster 750,9/98,$7695,L-2,5,57.4,44.7,425,43.1,118,4.34,n/.a,12.66,103.37,109.1,1:7.40,Middleweight Standard,,,,,
Hypermotard 796,5/10,$9995,L-2,6,70.98,50.03,418.5,42.8,124,3.80,10.23,11.97,109.10,116.5,1:5.90,Middleweight Supermoto,,,,,
Monster 796,11/10,$9999,L-2,6,75.84,51.42,446,46.4,137.9,3.97,9.65,11.97,112.30,117.4,1:5.46,Middleweight Standard,,,,,
748,5/97,"$12,995",L-2,6,85.7,50.3,452,39.8,153,3.40,7.63,11.11,122.11,112.4,1:5.27,Middleweight Sportbike,,,,,
848,3/08,"$12,995",L-2,6,117.0,62.6,428,41.3,156,3.28,6.93,10.74,129.75,114.0,1:3.66,Open Sportbike,,,,,
848 Streetfighter,7/12,"$12,995",L-2,6,118.08,62.68,444.5,41.1,152.3,3.24,7.03,10.88,126.99,112.9,1:3.76,Middleweight Naked,,,,,
S2R Monster Dark,9/05,$7995,L-2,6,68.3,48.6,419,42.2,129,4.00,10.99,12.24,107.50,128.3,1:6.12,Middleweight Standard,,,,,
Hyperstrada,12/13,"$13,295",L-2,6,98.0,59.0,468,46.7,135,3.33,8.04,11.24,116.46,120.3,1:4.75,Middleweight Sport-Tourer,,,,,
Monster City,9/99,"$10,995",L-2,6,68.2,54.6,462,42.2,122,3.84,11.45,12.20,105.11,117.5,1:6.77,Open Standard,,,,,
Monster 900ie,10/02,"$11,095",L-2,6,75.3,54.3,443,34.9,134,4.07,9.98,11.65,111.65,122.4,1:5.88,Open Standard,,,,,
