Make and Model,Name,Price,MSRP (Pounds),Weight,Horsepower,Torque,Top Speed,Fuel Efficiency,"Zero to 60,  seconds","Quartermile, seconds","Braking 60 to 0, distance",Power to Weight,Color
Rebel 250,Motorbike 1,6399.99,3995,145.149731,16.1,12.4,70,62.6,11.86,17.86,115.9,0.0503125,#B3DE69
Yamaha TW200,Motorbike 2,6712.38,4190,128.1399969,13.17,9.14,70.6,60.75,14.75,18.61,141.41,0.046619469,#CBD5E8
TU250X,Motorbike 3,6085.998,3799,149.2320672,15.62,12,72.7,57.9,12.49,17.88,134.1,0.047477204,#E78AC3
KLX250S ’13,Motorbike 4,8168.598,5099,134.7170941,18.46,12.71,75.14,53.9,9.17,16.5,123.67,0.062154882,#1F78B4
CRF250L,Motorbike 5,7207.398,4499,145.3765275,18.04,13.18,75.4,56,9.86,16.85,133.05,0.056287051,#8DD3C7
LS650,Motorbike 6,7047.198,4399,176.9012347,24.6,30.5,85,50,6.98,15.3,117.1,0.063076923,#FED9A6
CBR250R,Motorbike 7,6399.99,3995,166.0150049,21.92,14.65,91.2,56.5,8.79,16.32,124.3,0.05989071,#FFFF99
Ninja 250R ’08,Motorbike 8,5605.398,3499,169.6437481,26.4,13.6,95.5,51.2,7.72,15.58,121.5,0.070588235,#8DA0CB
Burgman 650,Motorbike 9,12333.798,7699,275.330896,37.4,58.6,101,46.4,7,15.19,120.8,0.061614498,#B3CDE3
Sportster SuperLow,Motorbike 10,12814.398,7999,256.9603832,47.5,48.02,105.2,51.7,6.37,14.6,124.96,0.083848191,#FDDAEC
Ninja 300,Motorbike 11,7687.998,4799,174.6332701,34.77,17.45,106,54.1,6.41,14.67,124.6,0.090311688,#CCEBC5
Scrambler ‘12,Motorbike 12,14095.998,8799,232.4663661,50.13,44.43,107.9,50.7,4.94,13.41,121.26,0.097814634,#33A02C
Sportster 72,Motorbike 13,16819.398,10499,253.7852328,54.67,59.81,108,43.3,5.32,13.69,120.7,0.097712243,#FCCDE5
XL1200S Sportster,Motorbike 14,13608.99,8495,238.5898704,56.4,65.5,110,50.4,4.8,13.15,114.5,0.107224335,#7FC97F
Bonneville ’01,Motorbike 15,11212.398,6999,226.7964547,53.9,40.8,114,41.1,5.2,13.52,115,0.1078,#CCEBC5
DL1000 V-Strom,Motorbike 16,14256.198,8899,237.2290916,89.2,65.6,124,43.7,3.61,11.56,118.4,0.170554493,#D95F02
Thruxton,Motorbike 17,12814.398,7999,221.8069327,54.9,43.8,124,41.7,5.33,13.42,133.8,0.112269939,#FB9A99
XL1200C Sportster,Motorbike 18,16084.08,10040,265.351852,58,68.7,124,44.2,4.58,12.99,123.7,0.099145299,#A6D854
Boulevard C109RT,Motorbike 19,24028.398,14999,398.2545745,97.7,97.1,126,31.9,4.33,12.67,127.7,0.111275626,#FFFFCC
Ninja 650 ‘12,Motorbike 20,12013.398,7499,208.6527383,61.47,41.21,126.5,49,3.99,12.33,115.6,0.133630435,#BEBADA
Ninja 650R ’07,Motorbike 21,10251.198,6399,198.6736943,63.1,42.6,129,54.3,3.84,12.11,128.1,0.144063927,#CCCCCC
GSX-600F Katana,Motorbike 22,9930.798,6199,229.9716051,68.8,37.4,134,40,4.12,12.25,115.4,0.135700197,#FF7F00
Shadow VLX600 599,Motorbike 23,11372.598,7099,202.3024376,80.4,41.7,136,47.7,3.71,11.57,116.5,0.180269058,#BC80BD
FZ6 ’07,Motorbike 24,10972.098,6849,210.46711,85.6,42,141,52.8,3.65,11.7,114.9,0.184482759,#FC8D62
YZF600R ’06,Motorbike 25,11372.598,7099,222.2605256,82,41.8,147,43.3,4.12,12.01,119.4,0.167346939,#FB8072
Z1000 3-Oct,Motorbike 26,16819.398,10499,217.7245965,123.17,73.74,149.3,37.2,3.05,10.64,110.3,0.256604167,#FFFF33
Sprint GT,Motorbike 27,21144.798,13199,270.1145776,117.75,72.52,150.2,41.8,3.19,10.88,122.7,0.197732997,#984EA3
Ninja 1000,Motorbike 28,17620.398,10999,225.8892689,122.48,72.68,152.8,41.4,2.91,10.5,116.5,0.245943775,#E31A1C
CBR600F3,Motorbike 29,12493.998,7799,208.6527383,90.2,43,153,39.3,3.36,11.03,114.5,0.196086957,#377EB8
Daytona T595 ’97,Motorbike 30,17133.39,10695,223.1677114,103.1,63.6,154,35.8,3.31,10.86,114.6,0.209552846,#BEAED4
FZ1 ’01,Motorbike 31,13615.398,8499,232.2395696,124.9,73.9,154,40,3.01,10.55,111.1,0.243945313,#E7298A
FZ1 ’06,Motorbike 32,14576.598,9099,224.0748973,126.6,65.7,154,37.4,3.23,10.74,114.4,0.256275304,#FFFF99
CBR600F4i ’06,Motorbike 33,13615.398,8499,199.5808802,90.1,40.3,156,36.7,3.52,11.26,123.5,0.204772727,#E6AB02
Daytona 650,Motorbike 34,12814.398,7999,200.488066,96.9,44,156,42.5,2.92,10.75,116.8,0.219230769,#80B1D3
B-King,Motorbike 35,20648.178,12889,262.1767017,163.9,97.2,158,33.8,2.86,9.99,119.6,0.283564014,#BF5B17
YZF-R1 ’10,Motorbike 36,21290.58,13290,213.8690568,153.77,76.28,176.7,29.4,2.88,10.05,124,0.326129374,#66C2A5
CBR1000RR ’08,Motorbike 37,18581.598,11599,199.5808802,150.9,75.7,178,38.5,2.95,9.94,122.8,0.342954545,#B15928
GSX-R1000 ’06,Motorbike 38,17620.398,10999,199.1272872,147.3,75.4,178,39.5,2.35,9.55,115,0.335535308,#F2F2F2
Ninja ZX-14R,Motorbike 39,23547.798,14699,264.8982591,189.34,112.09,186,32.9,2.77,9.62,116.03,0.324212329,#F1E2CC
GZ250,Motorbike 40,4644.198,2899,151.5000318,17.2,24.9,78,49.7,12.64,17.96,123.8,0.051497006,#1B9E77
